day,date,hospitalized,icu,ventilated
-20,2020-03-13,,,
-19,2020-03-14,0.26063568643129265,0.04273212998466544,0.015153237583214699
-18,2020-03-15,0.30994881916227346,0.05081719011846575,0.018020280183853113
-17,2020-03-16,0.36859167696846273,0.06043189122389914,0.02142974866095712
-16,2020-03-17,0.43832918349877836,0.07186559868991599,0.025484254854580154
-15,2020-03-18,0.5212600539236791,0.08546240418981249,0.030305817088585985
-14,2020-03-19,0.619879889029157,0.1016314701780362,0.03603952843192776
-13,2020-03-20,0.7371561813058429,0.12085932740014393,0.042857917517781535
-12,2020-03-21,0.8766174760990495,0.1437244931743792,0.05096613233134009
-11,2020-03-22,1.0424593508204731,0.1709148470531241,0.06060810179188797
-10,2020-03-23,1.2396703727604903,0.20324828204561518,0.07207385888142392
-9,2020-03-24,1.4741817850989651,0.2416972461615745,0.08570824331970722
-8,2020-03-25,1.7530453675266724,0.28741790328053574,0.10192124229806232
-7,2020-03-26,2.0846447413180282,0.3417847773556304,0.12120027565802494
-6,2020-03-27,2.478946360536572,0.4064319032972752,0.14412478840328913
-5,2020-03-28,2.94779757633942,0.48330169565564907,0.17138358001973364
-4,2020-03-29,3.505280508589479,0.5747029671059498,0.2037953784063653
-3,2020-03-30,4.168132040324124,0.6833797880066292,0.24233325815837903
-2,2020-03-31,4.956242101794782,0.81259318180589,0.2881536105694644
-1,2020-04-01,5.893244570763308,0.9662180052065406,0.34263049830019177
0,2020-04-02,7.007217625935041,1.1488577735544672,0.407396373600875
1,2020-04-03,5.832059305202932,0.9561864674809453,0.3390732154187752
2,2020-04-04,6.478490038685969,1.0621710412264225,0.3766563975980217
3,2020-04-05,7.196429674091462,1.1798797488917376,0.4183970740750844
4,2020-04-06,7.993755348956888,1.3106040746545595,0.46475321796261015
5,2020-04-07,8.879204127627688,1.4557764906924469,0.5162327981178887
6,2020-04-08,9.862465051290627,1.6169855491069534,0.5733991308889905
7,2020-04-09,10.954280611317827,1.7959925188323407,0.636876779727781
8,2020-04-10,12.166558507997479,1.994749708869353,0.7073580527905508
9,2020-04-11,13.51249461026191,2.215420627961546,0.7856101517594132
10,2020-04-12,15.006708081985323,2.460402139023177,0.872483028022403
11,2020-04-13,16.66538968431641,2.7323487738239685,0.9689180049021164
12,2020-04-14,18.506464298125167,3.034199379111218,1.0759572266351842
13,2020-04-15,20.54976873187934,3.369206268831384,1.1947539960394966
14,2020-04-16,22.817245882951312,3.7409670575536396,1.3265840629622847
15,2020-04-17,25.33315629797829,4.153459346528997,1.4728579243010653
16,2020-04-18,28.124308122387276,4.611078424717,1.6351341931620524
17,2020-04-19,31.22030633052168,5.118678130934349,1.8151340889838128
18,2020-04-20,34.653821973674894,5.681614998009508,2.014757091492733
19,2020-04-21,38.460881958756204,6.305795763005371,2.2360977882997766
20,2020-04-22,42.681179557033545,6.997728276211312,2.481463927734513
21,2020-04-23,47.3584054185834,7.7645757721165864,2.7533956638711246
22,2020-04-24,52.54059830747548,8.614214373667494,3.0546859481090465
23,2020-04-25,58.28051404440498,9.555293581698947,3.3884019793258666
24,2020-04-26,64.6360102110342,10.597299348553278,3.7579075704089604
25,2020-04-27,71.67044299155032,11.750619141637912,4.166886220438975
26,2020-04-28,79.45307105349866,13.026608161096846,4.619364596133636
27,2020-04-29,88.05945954730487,14.437655576941864,5.11973602019215
28,2020-04-30,97.57187507170181,15.997249285011577,5.672783434401261
29,2020-05-01,108.07965974542105,17.720037237330644,6.283701147989589
30,2020-05-02,119.67956927614637,19.62188286969382,6.958114492799233
31,2020-05-03,132.4760560584141,21.719911516553907,7.702096282465931
32,2020-05-04,146.58147380096352,24.03254396039057,8.522178709358343
33,2020-05-05,162.11617493210179,26.57951240165849,9.425359007680342
34,2020-05-06,179.20846603306768,29.381853151933228,10.419096862387647
35,2020-05-07,197.99437981625942,32.46186924894482,11.511301152108103
36,2020-05-08,218.617214765472,35.84305497899027,12.710303184039105
37,2020-05-09,241.2267856379617,39.54997299413094,14.02481311848615
38,2020-05-10,265.97831985269477,43.608073371197634,15.463855805389215
39,2020-05-11,293.03092676234655,48.04344264359395,17.036681788508503
40,2020-05-12,322.5455595243657,52.88246964294842,18.752648809556177
41,2020-05-13,354.6823835792884,58.151414051953,20.621068812749314
42,2020-05-14,389.5974627236037,63.87586307445133,22.651015274628122
43,2020-05-15,427.43867486066665,70.08006180855125,24.851085747713142
44,2020-05-16,468.3407765000893,76.78610405408438,27.22911491279598
45,2020-05-17,512.4195500637716,84.01297274301362,29.791834306033138
46,2020-05-18,559.7649934340834,91.77542334209966,32.544476362446744
47,2020-05-19,610.4335494870165,100.08270985775528,35.490322644594016
48,2020-05-20,664.4394270519069,108.93716187711493,38.630199247203905
49,2020-05-21,721.745135859167,118.33263273970056,41.96192650343994
50,2020-05-22,782.25144767448,128.2528536303505,45.47973532991148
51,2020-05-23,845.7871034830205,138.66974603617018,49.17366880715258
52,2020-05-24,912.0987094320608,149.54176515106997,53.028994734421985
53,2020-05-25,980.841396221278,160.81236845023295,57.02566257100466
54,2020-05-26,1051.5709477571017,172.40872515552473,61.13784579983144
55,2020-05-27,1123.7382207381597,184.2408013070708,65.33361748477682
56,2020-05-28,1196.6867586265598,196.20096856551663,69.57481154805566
57,2020-05-29,1269.6545289429287,208.1642890476205,73.81712377575184
58,2020-05-30,1341.7806583551137,219.98961956752373,78.010503392739
59,2020-05-31,1412.1178839032473,231.52165305855624,82.0998769711191
60,2020-06-01,1479.6511657187293,242.5939701934194,86.02623056504262
61,2020-06-02,1543.322513379575,253.03310975176737,89.72805310346348
62,2020-06-03,1602.0615782511668,262.66358434118047,93.14311501460293
63,2020-06-04,1654.8209921571324,271.3136742955294,96.21052279983292
64,2020-06-05,1700.6148442798258,278.82173609704114,98.87295606278076
65,2020-06-06,1738.5581567385561,285.04267453504235,101.07896260107873
66,2020-06-07,1767.904827113296,289.85416351508775,102.7851643670524
67,2020-06-08,1788.0813310410267,293.1621717171902,103.9582169209898
68,2020-06-09,1798.7135773404225,294.9053655872094,104.57637077560594
69,2020-06-10,1799.644704141836,295.0580270744176,104.63050605475792
70,2020-06-11,1790.9422743634423,293.63123335493583,104.12455083508348
71,2020-06-12,1772.8942032694322,290.672189140686,103.07524437613029
72,2020-06-13,1745.9937227650516,286.26176152310654,101.51126295145605
73,2020-06-14,1710.914629635401,280.51042183557274,99.47178079275591
74,2020-06-15,1668.4788544762123,273.55292846644807,97.00458456257047
75,2020-06-16,1619.6189270243412,265.54217291910754,94.16389110606679
76,2020-06-17,1565.3381474694688,256.64264975952847,91.00803182962045
77,2020-06-18,1506.6711978046296,247.02399870982936,87.59716266305941
78,2020-06-19,1444.647584504688,236.85501094786287,83.99113863399361
79,2020-06-20,1380.259769702221,226.298404102341,80.24766102919921
80,2020-06-21,1314.4372145379675,215.50656656959654,76.4207682870906
81,2020-06-22,1248.0269156887807,204.61836640944057,72.55970440051078
82,2020-06-23,1181.780438442067,193.75702537247707,68.70816502570142
83,2020-06-24,1116.3469871104753,183.02898277044005,64.90389459944618
84,2020-06-25,1052.2717298695497,172.52362082744912,61.178588945904266
85,2020-06-26,989.9984109025536,162.3136929502998,57.55804714549731
86,2020-06-27,929.875221635164,152.45628633785782,54.062512885765045
87,2020-06-28,872.1629384746047,142.99415619176762,50.70714758573331
88,2020-06-29,817.0444370226687,133.95728560487987,47.50258354783
89,2020-06-30,764.6348339052347,125.36454834958022,44.455513599140886
90,2020-07-01,714.9916634358087,117.22537737726452,41.56928275789551
91,2020-07-02,668.124649551246,109.5413669613099,38.84445636925966
92,2020-07-03,624.0047720971561,102.30775914616243,36.279347214950576
93,2020-07-04,582.5724441347702,95.51478444535132,33.87049093806809
94,2020-07-05,543.7447111492729,89.14884217679901,31.613064601701353
95,2020-07-06,507.42145439213346,83.19351752243165,29.501247348380275
96,2020-07-07,473.49063141252554,77.63044073158926,27.52852508212345
97,2020-07-08,441.8326203359611,72.43999938066008,25.687943042787538
98,2020-07-09,412.3237541062699,67.60191782440415,23.972311285249816
99,2020-07-10,384.839140039403,63.09571947157383,22.37436860694106
100,2020-07-11,359.2548615667474,58.9010877685032,20.886910556206203
