day,date,hospitalized,icu,ventilated
-20,2020-03-13,,,
-19,2020-03-14,0.26063568643129265,0.04273212998466544,0.015153237583214699
-18,2020-03-15,0.5705845055935661,0.09354932010313119,0.03317351776706781
-17,2020-03-16,0.9391761825620288,0.15398121132703033,0.05460326642802493
-16,2020-03-17,1.3775053660608072,0.22584681001694631,0.08008752128260509
-15,2020-03-18,1.8987654199844863,0.31130921420675883,0.11039333837119107
-14,2020-03-19,2.5186453090136434,0.41294068438479503,0.14643286680311884
-13,2020-03-20,3.2558014903194863,0.533800011784939,0.18929078432090038
-12,2020-03-21,4.132418966418536,0.6775245049593182,0.24025691665224047
-11,2020-03-22,5.174878317239009,0.8484393520124422,0.30086501844412844
-10,2020-03-23,6.414548689999499,1.008955504073392,0.37293887732555236
-9,2020-03-24,7.6280947886671715,1.1998355601165007,0.4434938830620449
-8,2020-03-25,9.071191337031571,1.4268215721731374,0.5273948451762541
-7,2020-03-26,10.787244401381136,1.6967407508388517,0.6271653721733219
-6,2020-03-27,12.82786157841893,2.0177102499463144,0.7458059057220309
-5,2020-03-28,15.254399100834672,2.399380475423927,0.8868836686531786
-4,2020-03-29,18.139799720394993,2.853224115129733,1.0546395186276158
-3,2020-03-30,21.570775579413272,3.3928794099619832,1.2541148592682134
-2,2020-03-31,25.65040020510901,4.034557744714749,1.4913023375063377
-1,2020-04-01,30.50118542505184,4.797527467875675,1.7733247340146416
0,2020-04-02,36.26873267822639,5.704687995268567,2.108647248734093
1,2020-04-03,40.62661019833036,6.373456559468977,2.3620122208331606
2,2020-04-04,45.352054869489656,7.0938428233397675,2.63674737613312
3,2020-04-05,50.46383980226309,7.86729066893423,2.9339441745501795
4,2020-04-06,55.97864879068341,8.694593047933141,3.2545726041095007
5,2020-04-07,61.91005534197167,9.575666571519637,3.5994218222076557
6,2020-04-08,68.26723988467282,10.509272332619961,3.969025574690281
7,2020-04-09,75.05338845566652,11.492671669646413,4.363569096259683
8,2020-04-10,82.26370486186923,12.521203373309225,4.782773538480769
9,2020-04-11,89.88295490136782,13.587766227716305,5.22575319193999
10,2020-04-12,97.8824453574181,15.091981899258535,5.690839846361518
11,2020-04-13,108.71577573653158,16.762159631856083,6.320684635844859
12,2020-04-14,120.74374999597077,18.616479262075565,7.019985464882021
13,2020-04-15,134.09708905375865,20.675081456252386,7.796342386846433
14,2020-04-16,148.92057958775308,22.960272023113582,8.658173231846108
15,2020-04-17,165.37453175810367,25.496745820535622,9.614798358029285
16,2020-04-18,183.63637482920035,28.311831726420284,10.676533420302347
17,2020-04-19,203.9024005484042,31.43576014848528,11.854790729558378
18,2020-04-20,226.3896640140816,34.901954518533245,13.16218976826056
19,2020-04-21,251.3380513625759,38.747348142515435,14.612677404800923
20,2020-04-22,279.01252283762415,43.01272764490278,16.221658304513035
21,2020-04-23,309.7055385718911,47.743104037908154,18.006135963482045
22,2020-04-24,343.7396725812414,52.988112142744264,19.984864684955905
23,2020-04-25,381.47041789376703,58.80243866688957,22.178512668242277
24,2020-04-26,423.28918222184996,65.24627866891385,24.60983617568895
25,2020-04-27,469.626468915422,72.38581938583476,27.303864471826863
26,2020-04-28,520.9552318465334,80.29374941599727,30.288094874798446
27,2020-04-29,577.7943850633166,89.04978999492963,33.592696806006785
28,2020-04-30,640.7124381613435,98.74124351693584,37.25072314891531
29,2020-05-01,710.3312159480083,109.46355247805516,41.29832650860512
30,2020-05-02,787.3296056671211,121.3208595756324,45.774977073669845
31,2020-05-03,872.4472563069519,134.4265567185188,50.723677692264644
32,2020-05-04,966.4881318004399,148.90380709721043,56.19117045351395
33,2020-05-05,1070.3237926881366,164.8860201503157,62.22812748186842
34,2020-05-06,1184.8962485101702,182.517254160611,68.8893167738471
35,2020-05-07,1311.2201853348793,201.95251524845895,76.23373170551623
36,2020-05-08,1450.3843290468526,223.35791465050735,84.32467029342169
37,2020-05-09,1603.5516551375094,246.91063835962672,93.22974739171569
38,2020-05-10,1771.9580999185023,272.7986744934937,103.02081976270364
39,2020-05-11,1956.909366935428,301.22023426739383,113.77380040322257
40,2020-05-12,2159.7753571836474,332.38279239378835,125.5683347199795
41,2020-05-13,2381.9816847045213,366.5016624853508,138.4873072502629
42,2020-05-14,2624.997673627162,403.7980131581436,152.61614381553267
43,2020-05-15,2890.320173555727,444.4962218147616,168.04187055556542
44,2020-05-16,3179.452484022748,488.82045661990117,184.85188860597378
45,2020-05-17,3493.8776542702603,536.9903743839245,203.13242175989882
46,2020-05-18,3835.0254329388717,589.2158247318932,222.96659493830646
47,2020-05-19,4204.232196787927,645.6904612184509,244.43210446441432
48,2020-05-20,4602.693303987138,706.5841804519719,267.598447906229
49,2020-05-21,5031.407513083959,772.034343548724,292.5236926211604
50,2020-05-22,5491.1134012340735,842.1357831271215,319.2507791415158
51,2020-05-23,5982.218121137806,916.9296660888403,347.80337913591904
52,2020-05-24,6504.719367846263,996.3913694313591,378.18135859571294
53,2020-05-25,7058.122089206874,1080.4176338275076,410.3559354190045
54,2020-05-26,7641.3522604638865,1168.8133862400186,444.26466630603994
55,2020-05-27,8252.670931138275,1261.2787642049898,479.8064494847836
56,2020-05-28,8889.59269633075,1357.3970229127513,516.8367846703925
57,2020-05-29,9548.813675786663,1456.6241500832568,555.1635858015504
58,2020-05-30,10226.154907089869,1558.28113691108,594.5438899470855
59,2020-05-31,10916.52765513395,1661.5499363392858,634.6818404147648
60,2020-06-01,11613.9273731782,1765.474160496535,675.2283356498958
61,2020-06-02,12311.462783074754,1868.9655050972324,715.7827199462067
62,2020-06-03,13001.42565189386,1970.81672098818,755.8968402263877
63,2020-06-04,13675.405247829714,2069.721670128185,795.0817004552159
64,2020-06-05,14324.449144352438,2164.3026049181553,832.8168107181652
65,2020-06-06,14939.269080352835,2253.144310887681,868.5621558344671
66,2020-06-07,15510.487148839571,2334.8341853551483,901.7725086534639
67,2020-06-08,16028.91395093767,2408.0067375048147,931.9136017987018
68,2020-06-09,16485.846869922978,2471.390450033468,958.4794691815688
69,2020-06-10,16873.373690161567,2523.854506914466,981.0100982652075
70,2020-06-11,17184.66479880628,2564.4526305176346,999.1084185352483
71,2020-06-12,17414.236488696137,2592.46123531714,1012.4556098079152
72,2020-06-13,17558.16863321002,2607.409322544717,1020.8237577447683
73,2020-06-14,17614.26227068829,2609.0980082832484,1024.0850157376913
74,2020-06-15,17582.126280884677,2597.608262214654,1022.216644237481
75,2020-06-16,17463.187051170462,2573.296271618674,1015.301572742469
76,2020-06-17,17260.620371526635,2536.776749661012,1003.5244402050371
77,2020-06-18,16979.210238290238,2488.895382783632,987.1633859471067
78,2020-06-19,16625.144245454503,2430.6923666570783,966.5781538054944
79,2020-06-20,16205.759311014888,2363.3595374044835,942.1953087799357
80,2020-06-21,15729.254251189413,2288.193914833394,914.4915262319428
81,2020-06-22,15204.386963608762,2206.550519719728,883.9759862563233
82,2020-06-23,14640.173679285777,2119.7971232566324,851.1728883305686
83,2020-06-24,14045.606036760852,2029.2731775606244,816.6050021372589
84,2020-06-25,13429.398912154189,1936.254625468966,780.7790065205927
85,2020-06-26,12799.778396032401,1841.9256686597373,744.1731625600232
86,2020-06-27,12164.315470198097,1747.3579562877658,707.2276436161678
87,2020-06-28,11529.807210868072,1653.4971015316696,670.3376285388417
88,2020-06-29,10902.204063386052,1561.1559830342085,633.8490734526781
89,2020-06-30,10286.579127589066,1471.0139648141921,598.0569260226198
90,2020-07-01,9687.133576486907,1383.620975782016,563.2054404934247
91,2020-07-02,9107.231310349373,1299.405317370849,529.4901924621736
92,2020-07-03,8549.455644004462,1218.6840937465713,497.06137465142274
93,2020-07-04,8015.6811010287565,1141.6752573644735,466.02797099004465
94,2020-07-05,7507.15408230848,1068.5104065909727,436.46244664584174
95,2020-07-06,7024.57712579806,999.2476377755465,408.4056468487247
96,2020-07-07,6568.192535575421,933.8839223153682,381.8716590450831
97,2020-07-08,6137.862217436777,872.3666360911484,356.85245450213733
98,2020-07-09,5733.141534520379,814.6040055659723,333.32218223955715
99,2020-07-10,5353.345840654547,760.4743476602816,311.2410372473573
100,2020-07-11,4997.609038785486,709.8340684674749,290.558665045668
