day,date,susceptible,infected,recovered
-20,2020-03-13,1050480.0801033592,12.919896640826876,0.0
-19,2020-03-14,1050476.7127172295,15.364433010371075,0.9228497600590625
-18,2020-03-15,1050472.708210522,18.2714802171532,2.0203092607998534
-17,2020-03-16,1050467.946044153,21.728540856458128,3.3254149905965105
-16,2020-03-17,1050462.2828764075,25.83966996931623,4.877453623200663
-15,2020-03-18,1050455.548250388,30.728605276907988,6.723144335294679
-14,2020-03-19,1050447.539466292,36.54248899596993,8.918044712216677
-13,2020-03-20,1050438.0154846213,43.45629288116163,11.5282224976431
-12,2020-03-21,1050426.6896774366,51.678079145820895,14.632243417726073
-11,2020-03-22,1050413.2212103715,61.45525484312627,18.323534785284703
-10,2020-03-23,1050397.2047972868,73.08200686766382,22.713195845508007
-9,2020-03-24,1050378.1585209935,86.90813981324183,27.93333919319828
-8,2020-03-25,1050355.5093560384,103.34958049599238,34.14106346557269
-7,2020-03-26,1050328.5759614478,122.90086219409372,41.52317635814357
-6,2020-03-27,1050296.5482306916,146.14995993651635,50.30180937200741
-5,2020-03-28,1050258.462990687,173.7959170882933,60.741092224615706
-4,2020-03-29,1050213.175128819,206.6697848786392,73.15508630235094
-3,2020-03-30,1050159.3232936729,245.75949253361432,87.91721379368232
-2,2020-03-31,1050095.2891579906,292.2393787490308,105.47146326036903
-1,2020-04-01,1050019.1490472574,347.5052481431903,126.34570459958555
0,2020-04-02,1049928.6165197904,413.21597217125213,151.16750803838482
1,2020-04-03,1049853.266916364,459.0501490139857,180.68293462204568
2,2020-04-04,1049769.5654946754,509.96227434429306,213.4722309801875
3,2020-04-05,1049676.5883671031,566.513525177656,249.8981077190656
4,2020-04-06,1049573.3098742228,629.326766259832,290.36335951746963
5,2020-04-07,1049458.5914746409,699.0932539658829,335.3152713931718
6,2020-04-08,1049331.1694455545,776.5800506261908,385.25050381930635
7,2020-04-09,1049189.6412722815,862.6382202828744,440.7205074354627
8,2020-04-10,1049032.4505938836,958.2118829462836,502.3375231699537
9,2020-04-11,1048857.8705601594,1064.348210745863,570.7812290946883
10,2020-04-12,1048663.9854428212,1182.2084558880415,646.8061012908214
11,2020-04-13,1048448.6703306205,1313.0801069536521,731.2495624256813
12,2020-04-14,1048209.5687247018,1458.3902766616063,825.0409986366567
13,2020-04-15,1047944.067836693,1619.720430623126,929.2117326839143
14,2020-04-16,1047649.271378257,1798.8225725861093,1044.9060491569946
15,2020-04-17,1047321.9696173011,1997.6370069286072,1173.3933757702882
16,2020-04-18,1046958.6064632649,2218.311803326862,1316.0817334080457
17,2020-04-19,1046555.2433323798,2463.224091117378,1474.5325765028217
18,2020-04-20,1046107.5195342704,2735.0033112899187,1650.4771544397772
19,2020-04-21,1045610.6089146482,3036.55655153424,1845.8345338176287
20,2020-04-22,1045059.1724862627,3371.096083381526,2062.7314303557887
21,2020-04-23,1044447.3067831802,3742.169209079604,2303.5240077401836
22,2020-04-24,1043768.4876836004,4153.690508010848,2570.821808388727
23,2020-04-25,1043015.5094659724,4609.976546495186,2867.513987532359
24,2020-04-26,1042180.4188947704,5115.783078661808,3196.7980265677293
25,2020-04-27,1041254.4441791173,5676.3447172676415,3562.2111036150013
26,2020-04-28,1040227.9187133098,6297.41698898457,3967.664297705547
27,2020-04-29,1039090.1995977116,6985.32060536964,4417.479796918731
28,2020-04-30,1037829.5810567335,7746.987674535584,4916.431268730848
29,2020-05-01,1036433.203023847,8590.00944495533,5469.787531197676
30,2020-05-02,1034886.9553587805,9522.68500681073,6083.359634408771
31,2020-05-03,1033175.3784071214,10554.070172269057,6763.551420609538
32,2020-05-04,1031281.5609161529,11694.025508075507,7517.413575771613
33,2020-05-05,1029187.036692224,12953.262195713362,8352.701112062721
34,2020-05-06,1026871.6818339156,14343.3840400422,9277.934126042248
35,2020-05-07,1024313.6149112249,15876.923531301305,10302.461557473835
36,2020-05-08,1021489.1030925496,17567.369383455138,11436.527523995355
37,2020-05-09,1018372.477955108,19429.182422078284,12691.339622813575
38,2020-05-10,1014936.0655539107,21477.796078841726,14079.138367247742
39,2020-05-11,1011150.1362675752,23729.59707383111,15613.266658593577
40,2020-05-12,1006982.8809765627,26201.881145284227,17308.23787815294
41,2020-05-13,1002400.4212403964,28912.777942501867,19179.80081710182
42,2020-05-14,997366.8622904789,31881.138467954814,21244.999241566235
43,2020-05-15,991844.3987909871,35126.377791164145,23522.22341784872
44,2020-05-16,985793.4843659214,38668.26523114675,26031.250402931873
45,2020-05-17,979173.0767423586,42526.65390962776,28793.26934801379
46,2020-05-18,971940.9708840371,46721.14163154727,31830.887484415773
47,2020-05-19,964054.2325185715,51270.65559475924,35168.11188666914
48,2020-05-20,955469.7437969709,56192.954631020155,38830.30157200909
49,2020-05-21,946144.8712406507,61504.04471369584,42844.084045653384
50,2020-05-22,936038.2633895595,67217.50651380903,47237.23009663166
51,2020-05-23,925110.7814324142,73343.73800568195,52038.48056190372
52,2020-05-24,913326.5603803204,79889.12062879848,57277.318990881
53,2020-05-25,900654.1909200974,86855.1243298218,62983.68475008091
54,2020-05-26,887068.0029645793,94237.37483320979,69187.62220221103
55,2020-05-27,872549.4213012953,102024.71543697856,75918.863261726
56,2020-05-28,857088.3520683943,110198.30499580989,83206.34293579591
