,ihme_lower,ihme_mean,ihme_upper,can_1,can_3,chime,umcphr_4wk,umcphr_3mth,umcphr_opt
2020-03-10,0.0,0.0,0.0,-0.027772891544919798,-0.02776952400038879,0.26063568643129265,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.26063568643129265,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.02777289154491981,0.027769524000388818,0.26063568643129265,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.04443662647187169,0.04443123840062209,0.26063568643129265,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.03888204816288775,0.038877333600544337,0.26063568643129265,1.0,1.0,1.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.30994881916227346,1.0,1.0,1.0
2020-03-16,0.0,0.0,0.0,-0.07220951801679153,-0.07220076240101089,0.3685916769684627,1.0,1.0,1.0
2020-03-17,0.0,0.0,0.0,-0.13330987941561506,-0.13329371520186634,0.4383291834987784,1.0,1.0,1.0
2020-03-18,0.0,0.0,0.0,-0.1277553011066312,-0.1277398104017886,0.5212600539236791,1.0,1.0,1.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.619879889029157,1.0,1.0,1.0
2020-03-20,0.0,0.0,0.0,0.2923151805222463,0.2922835256036547,0.7371561813058429,2.0,2.0,2.0
2020-03-21,0.0,0.0,0.0,0.7388028911905887,0.7387436224068431,0.8766174760990495,3.0,3.0,3.0
2020-03-22,4.8,7.0107105263157905,10.65,1.315889156263637,1.31583190800661,1.0424593508204731,3.0,3.0,3.0
2020-03-23,4.8,7.0107105263157905,10.65,2.0,2.0,1.2396703727604903,4.0,4.0,4.0
2020-03-24,4.8,7.0107105263157905,10.65,2.7779487959278066,2.778066659986392,1.4741817850989651,4.0,4.0,4.0
2020-03-25,29.0,35.3420684210526,42.605,3.67809831465326,3.6783192255744943,1.7530453675266724,6.0,6.0,6.0
2020-03-26,29.0,35.3420684210526,42.605,4.739198676052085,4.73941217837535,2.084644741318028,9.0,9.0,9.0
2020-03-27,35.49875,42.3997710526316,50.85875,6.0,6.0,2.478946360536572,11.0,11.0,11.0
2020-03-28,34.49875,41.3997710526316,49.85875,7.470889635766528,7.470449834450779,2.94779757633942,13.0,13.0,13.0
2020-03-29,29.7,35.7696026315789,42.80125,9.048803850196371,9.04797947529518,3.505280508589479,15.0,15.0,15.0
2020-03-30,36.2975,42.8634526315789,50.30125,10.60231613952803,10.601519378491995,4.1681320403241235,16.0,16.0,16.0
2020-03-31,32.2975,38.8634526315789,46.30125,12.0,12.0,4.956242101794782,17.0,17.0,17.0
2020-04-01,12.49875,16.0622842105263,21.25125,13.150992661006084,13.152634002210497,5.893244570763308,19.0,19.0,19.0
2020-04-02,11.49875,15.062284210526302,20.25125,14.126686284561258,14.129762873244784,7.0072176259350405,21.0,21.0,21.0
2020-04-03,6.85,9.38379736842105,13.10125,15.039036765835805,15.042010307656684,5.832059305202932,23.0,23.0,23.0
2020-04-04,6.85,9.38379736842105,13.10125,16.0,16.0,6.478490038685969,24.0,24.0,24.0
2020-04-05,6.1,13.085776315789499,30.20875,17.081389720209142,17.075264156707245,7.196429674091463,25.0,25.0,25.0
2020-04-06,2.05,12.655297368421099,45.5025,18.194451011558595,18.18296903172568,7.9937553489568876,27.0,27.0,27.0
2020-04-07,2.1,19.3523157894737,79.2975,19.210286797128756,19.199189390881283,8.879204127627688,27.0,27.0,27.0
2020-04-08,2.14875,27.5399078947368,113.58125,20.0,20.0,9.862465051290627,28.0,28.0,28.0
2020-04-09,2.15,37.4553631578947,153.649999999999,20.47657345815736,20.499434370960543,10.954280611317827,30.0,30.0,30.0
2020-04-10,2.19875,48.8008789473684,207.60125,20.72050966920436,20.763360999852498,12.166558507997479,31.0,31.0,31.0
2020-04-11,1.9,60.4521710526316,262.97375,20.854191045649188,20.89560712881821,13.51249461026191,32.0,32.0,32.0
2020-04-12,1.95,70.0049973684211,302.3525,21.0,21.0,15.006708081985323,32.0,32.0,32.0
2020-04-13,1.95,79.77602105263159,338.08375,21.262316447161435,21.176998359450604,16.665389684316413,34.0,34.0,34.0
2020-04-14,0.6,87.27023684210529,382.13125,21.67351031162396,21.51358696886433,18.506464298125167,35.0,35.0,35.0
2020-04-15,0.6,95.2075526315789,415.84625,22.24794902027451,22.093382093845896,20.54976873187934,36.0,36.0,36.0
2020-04-16,0.25,101.62086315789499,433.88375,23.0,23.0,22.81724588295131,37.0,37.0,37.0
2020-04-17,0.25,106.708607894737,453.64625,23.92728575319691,24.292572191237056,25.333156297978288,39.0,39.0,38.0
2020-04-18,0.25,110.5262,466.8725,24.960449084299803,25.93229112469019,28.12430812238728,40.0,40.0,39.0
2020-04-19,0.0,112.106094736842,479.90625,26.0133878732528,27.855864495798233,31.22030633052168,41.0,41.0,39.0
2020-04-20,0.0,112.800992105263,485.73625,27.0,30.0,34.65382197367489,43.0,43.0,40.0
2020-04-21,0.0,112.18854210526301,480.15375,27.85666554005095,32.30896287560119,38.46088195875621,44.0,44.0,41.0
2020-04-22,0.0,110.29947368421101,467.72625,28.60969335117684,34.75724853237493,42.681179557033545,45.0,45.0,41.0
2020-04-23,0.0,106.9662,458.26875,29.30787448671432,37.3269099229612,47.3584054185834,47.0,47.0,42.0
2020-04-24,0.0,103.040089473684,440.01375,30.0,40.0,52.540598307475484,48.0,48.0,42.0
2020-04-25,0.0,97.8627578947368,431.76,30.72417708659932,42.7684513063582,58.280514044404974,50.0,50.0,42.0
2020-04-26,0.0,91.9693973684211,412.52,31.475777510992838,45.663714745810125,64.6360102110342,51.0,51.0,42.0
2020-04-27,0.0,85.29673684210529,386.6425,32.239489179889944,48.72712081235699,71.67044299155032,53.0,53.0,42.0
2020-04-28,0.0,78.01915,363.69125,33.0,52.0,79.45307105349866,54.0,54.0,42.0
2020-04-29,0.0,70.4456157894737,340.9325,33.74662611355179,55.52348189896603,88.05945954730488,56.0,56.0,42.0
2020-04-30,0.0,62.8252684210526,304.41375,34.48719660485179,59.33789248438458,97.5718750717018,57.0,57.0,42.0
2020-05-01,0.0,55.1778947368421,275.5375,35.2341687937259,63.48335682761085,108.07965974542105,59.0,59.0,41.0
2020-05-02,0.0,47.7332552631579,242.485,36.0,68.0,119.67956927614635,61.0,61.0,41.0
2020-05-03,0.0,40.7760894736842,214.08,36.78931845919353,72.91887109777771,132.4760560584141,62.0,62.0,40.0
2020-05-04,0.0,34.4206,193.85625,37.5754360696,78.23471531665156,146.58147380096352,64.0,64.0,39.0
2020-05-05,0.0,28.85055,161.75625,38.32383564520648,83.93320187719964,162.1161749321018,65.0,65.0,38.0
2020-05-06,0.0,23.9970394736842,138.26375,39.0,90.0,179.2084660330677,67.0,67.0,37.0
2020-05-07,0.0,19.8138447368421,124.4,39.58047504967413,96.42603370992316,197.99437981625942,68.0,68.0,36.0
2020-05-08,0.0,16.20615,108.405,40.086059116748245,103.2232462490092,218.617214765472,70.0,70.0,35.0
2020-05-09,0.0,13.2372210526316,93.75625,40.54861362544825,110.40883566359065,241.22678563796168,71.0,71.0,34.0
2020-05-10,0.0,10.6404473684211,79.07,41.0,118.0,265.9783198526948,72.0,72.0,33.0
2020-05-11,0.0,8.53697105263158,63.3675,41.46690634211001,126.01761906252966,293.0309267623465,74.0,74.0,32.0
2020-05-12,0.0,6.80631315789474,51.91375,41.95532746340706,134.49729968731162,322.5455595243657,75.0,75.0,31.0
2020-05-13,0.0,5.35515,40.75,42.466084853000595,143.4783304684378,354.6823835792884,76.0,76.0,29.0
2020-05-14,0.0,4.16826052631579,31.095,43.0,153.0,389.59746272360366,78.0,78.0,28.0
2020-05-15,0.0,3.2213368421052597,21.4575,43.55189958188589,163.09724003995822,427.43867486066665,79.0,79.0,27.0
2020-05-16,0.0,2.42952894736842,12.71125,44.09263102962354,173.78755500174427,468.34077650008936,80.0,80.0,26.0
2020-05-17,0.0,1.87138421052632,10.75625,44.58704696254943,185.08409246265825,512.4195500637716,81.0,81.0,24.0
2020-05-18,0.0,1.4104078947368401,8.61249999999999,45.0,197.0,559.7649934340834,82.0,82.0,23.0
2020-05-19,0.0,1.06562105263158,7.155,45.30987033034647,209.56217077763765,610.4335494870165,83.0,83.0,22.0
2020-05-20,0.0,0.789092105263158,5.85375,45.54914841809881,222.85248030571134,664.4394270519069,84.0,84.0,20.0
2020-05-21,0.0,0.573134210526316,4.705,45.76385229680176,236.96654968092938,721.745135859167,85.0,85.0,19.0
2020-05-22,0.0,0.41994473684210504,3.5062499999999903,46.0,252.0,782.25144767448,86.0,86.0,18.0
2020-05-23,0.0,0.29991842105263206,2.9525,46.286744096728285,268.02907684949133,845.7871034830205,86.0,86.0,17.0
2020-05-24,0.0,0.211652631578947,2.00125,46.58577529798126,285.0525237754104,912.0987094320607,87.0,87.0,16.0
2020-05-25,0.0,0.150873684210526,1.75125,46.84191885024361,303.04970881362436,980.841396221278,88.0,88.0,15.0
2020-05-26,0.0,0.101778947368421,1.25,47.0,322.0,1051.5709477571015,90.0,88.0,13.0
2020-05-27,0.0,0.0666342105263158,0.9,47.02752828274044,341.8996468243972,1123.7382207381597,93.0,88.0,12.0
2020-05-28,0.0,0.0442894736842105,0.55,46.982750389976175,362.81242459264695,1196.6867586265598,97.0,89.0,11.0
2020-05-29,0.0,0.0237421052631579,0.0,46.946597302223836,384.8189900645733,1269.6545289429287,101.0,89.0,11.0
2020-05-30,0.0,0.0159289473684211,0.0,47.0,408.0,1341.7806583551135,107.0,89.0,10.0
2020-05-31,0.0,0.00804736842105263,0.0,47.196892772310015,432.4348358529202,1412.1178839032473,114.0,89.0,9.0
2020-06-01,0.0,0.00451315789473684,0.0,47.48322314211406,458.19777785400197,1479.6511657187293,122.0,89.0,8.0
2020-06-02,0.0,0.00267105263157895,0.0,47.77794194086109,485.3618309280829,1543.322513379575,131.0,88.0,8.0
2020-06-03,0.0,0.0006842105263157901,0.0,48.0,514.0,1602.0615782511668,143.0,88.0,7.0
2020-06-04,0.0,0.00047368421052631604,0.0,48.09115062801953,544.1735097639225,1654.8209921571327,156.0,88.0,6.0
2020-06-05,0.0,0.0,0.0,48.08435704156757,575.8964639913454,1700.6148442798258,172.0,87.0,6.0
2020-06-06,0.0,0.0,0.0,48.03538493433183,609.1711862230957,1738.558156738556,190.0,86.0,5.0
2020-06-07,0.0,0.0,0.0,48.0,644.0,1767.9048271132958,212.0,86.0,5.0
2020-06-08,0.0,0.0,0.0,48.01662971561191,680.4023750913901,1788.0813310410267,237.0,85.0,4.0
2020-06-09,0.0,0.0,0.0,48.05434869161569,718.4663661806165,1798.7135773404223,267.0,84.0,4.0
2020-06-10,0.0,0.0,0.0,48.06489332181164,758.2971741795347,1799.644704141836,302.0,83.0,3.0
2020-06-11,0.0,0.0,0.0,48.0,800.0,1790.9422743634425,343.0,82.0,3.0
2020-06-12,0.0,0.0,0.0,47.82670550953291,843.6544898705174,1772.8942032694324,391.0,81.0,3.0
2020-06-13,0.0,0.0,0.0,47.57324819196971,889.2380712861886,1745.9937227650516,448.0,80.0,2.0
2020-06-14,0.0,0.0,0.0,47.28316677842167,936.7026170587659,1710.914629635401,513.0,79.0,2.0
2020-06-15,0.0,0.0,0.0,47.0,986.0,1668.4788544762125,590.0,78.0,2.0
2020-06-16,0.0,0.0,0.0,46.75467324625654,1037.089040426541,1619.618927024341,677.0,77.0,2.0
2020-06-17,0.0,0.0,0.0,46.52765854050549,1089.9563486746292,1565.3381474694686,778.0,75.0,1.0
2020-06-18,0.0,0.0,0.0,46.28681456450171,1144.5954825854026,1506.6711978046296,891.0,74.0,1.0
2020-06-19,0.0,0.0,0.0,46.0,1201.0,1444.6475845046882,1016.0,73.0,1.0
2020-06-20,0.0,0.0,0.0,45.638976505440986,1259.1612234233194,1380.259769702221,1153.0,71.0,1.0
2020-06-21,0.0,0.0,0.0,45.19111764600833,1319.0615340152958,1314.4372145379675,1299.0,70.0,1.0
2020-06-22,0.0,0.0,0.0,44.647699963571526,1380.6810775996244,1248.0269156887807,1448.0,68.0,1.0
2020-06-23,0.0,0.0,0.0,44.0,1444.0,1181.780438442067,1596.0,67.0,1.0
2020-06-24,0.0,0.0,0.0,43.25192073197955,1508.9691908801829,1116.3469871104753,1732.0,65.0,1.0
2020-06-25,0.0,0.0,0.0,42.457870875461175,1575.4225152641889,1052.2717298695495,1849.0,64.0,1.0
2020-06-26,0.0,0.0,0.0,41.68488558121222,1643.1645820161011,989.9984109025536,1934.0,62.0,0.0
2020-06-27,0.0,0.0,0.0,41.0,1712.0,929.875221635164,1981.0,61.0,0.0
2020-06-28,0.0,0.0,0.0,40.44709056664084,1781.7432630559508,872.1629384746047,1981.0,59.0,0.0
2020-06-29,0.0,0.0,0.0,39.97739885214694,1852.2484049279483,817.0444370226687,1933.0,57.0,0.0
2020-06-30,0.0,0.0,0.0,39.5190077115796,1923.3793443359718,764.6348339052347,1840.0,56.0,0.0
2020-07-01,0.0,0.0,0.0,39.0,1995.0,714.9916634358087,1708.0,54.0,0.0
2020-07-02,0.0,0.0,0.0,38.36596700145714,2066.9483818960152,668.1246495512461,1548.0,53.0,0.0
2020-07-03,0.0,0.0,0.0,37.63253371595101,2138.958865024017,624.0047720971561,1372.0,51.0,0.0
2020-07-04,0.0,0.0,0.0,36.83283357246938,2210.739915640011,582.5724441347703,1192.0,50.0,0.0
2020-07-05,0.0,0.0,0.0,36.0,2282.0,543.7447111492728,1017.0,48.0,0.0
2020-07-06,0.0,0.0,0.0,35.16716642753062,2352.4475843599894,507.4214543921335,855.0,47.0,0.0
2020-07-07,0.0,0.0,0.0,34.36746628404899,2421.7911349759834,473.49063141252566,710.0,45.0,0.0
2020-07-08,0.0,0.0,0.0,33.63403299854286,2489.7391181039848,441.83262033596117,583.0,44.0,0.0
2020-07-09,0.0,0.0,0.0,33.0,2556.0,412.3237541062699,475.0,43.0,0.0
2020-07-10,0.0,0.0,0.0,,,384.839140039403,385.0,41.0,0.0
