,ihme_lower,ihme_mean,ihme_upper,chime,umcphr_4wk,umcphr_3mth,umcphr_opt
2020-03-10,0.0,0.0,0.0,0.04273212998466544,0.49022,0.49022,0.49022
2020-03-11,0.0,0.0,0.0,0.04273212998466544,0.49022,0.49022,0.49022
2020-03-12,0.0,0.0,0.0,0.04273212998466544,0.49022,0.49022,0.49022
2020-03-13,0.0,0.0,0.0,0.04273212998466544,0.49022,0.49022,0.49022
2020-03-14,0.0,0.0,0.0,0.04273212998466544,0.49022,0.49022,0.49022
2020-03-15,0.0,0.0,0.0,0.05081719011846575,0.49022,0.49022,0.49022
2020-03-16,0.0,0.0,0.0,0.06043189122389914,0.49022,0.49022,0.49022
2020-03-17,0.0,0.0,0.0,0.07186559868991599,0.49022,0.49022,0.49022
2020-03-18,0.0,0.0,0.0,0.08546240418981249,0.49022,0.49022,0.49022
2020-03-19,0.0,0.0,0.0,0.1016314701780362,0.49022,0.49022,0.49022
2020-03-20,0.0,0.0,0.0,0.12085932740014392,0.49022,0.49022,0.49022
2020-03-21,0.0,0.0,0.0,0.1437244931743792,0.49022,0.49022,0.49022
2020-03-22,1.0,1.0,1.0,0.1709148470531241,0.49022,0.49022,0.49022
2020-03-23,1.0,1.0,1.0,0.2032482820456152,0.65362,0.65362,0.65362
2020-03-24,1.0,1.0,1.0,0.2416972461615745,0.65362,0.65362,0.65362
2020-03-25,5.05,5.2451,5.55,0.2874179032805357,0.9804299999999999,0.9804299999999999,0.9804299999999999
2020-03-26,5.05,5.2451,5.55,0.3417847773556304,1.47065,1.47065,1.47065
2020-03-27,6.05,6.2451,6.55,0.4064319032972752,1.7974599999999998,1.7974599999999998,1.7974599999999998
2020-03-28,5.7,6.1986,6.8,0.483301695655649,2.12427,2.12427,2.12427
2020-03-29,5.7,6.1986,6.8,0.5747029671059498,2.45108,2.45108,2.45108
2020-03-30,6.89875,7.437,8.1,0.6833797880066292,2.61449,2.61449,2.61449
2020-03-31,2.89875,3.437,4.1,0.81259318180589,2.77789,2.77789,2.77789
2020-04-01,2.89875,3.437,4.1,0.9662180052065406,3.1047,3.1047,3.1047
2020-04-02,2.05,2.6814,3.4,1.1488577735544672,3.43151,3.43151,3.43151
