Location,DateReported,PredHosp2wk,PredHosp4wk,PredHosp3mth,PredHospOPT,PredICU2wk,PredICU4wk,PredICU3mth,PredICUOPT,PredVents2wk,PredVents4wk,PredVents3mth,PredVentsOPT,DateRun,Date2wk,Date4wk,Date3mth
Region1,2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-04-11,1.0,1.0,1.0,1.0,0.16576,0.16576,0.16576,0.16576,0.08288,0.08288,0.08288,0.08288,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-04-12,1.0,1.0,1.0,1.0,0.16576,0.16576,0.16576,0.16576,0.08288,0.08288,0.08288,0.08288,04/17/2020,05/09/2020,05/23/2020,10/30/2020
Region1,2020-04-13,1.0,1.0,1.0,1.0,0.16576,0.16576,0.16576,0.16576,0.08288,0.08288,0.08288,0.08288,04/17/2020,05/09/2020,05/23/2020,10/30/2020
